image,score,split
lanphere54810922.jpg,2.85,train
43751877@N085618633908.jpg,2.21,train
argstudios3369487147.jpg,3.35,train
blemaire2221855692.jpg,2.41,train
jillblack335278234599.jpg,2.79,train
parisbreakfast21504244226.jpg,2.04,train
dbagcollection2572422882.jpg,1.91,train
ale_bujj5031652084.jpg,2.79,train
mattbbr8000677242.jpg,1.7,train
32966980@N085054385089.jpg,2.49,train
ohm17247744061.jpg,2.56,train
cakewalkqueen5995502391.jpg,2.17,train
giveawayboy4344708839.jpg,2.71,train
theworldisatwarwegonnastopit4187575895.jpg,2.15,train
_kimmg_2831596875.jpg,3.06,train
thegraveyardshift4119447854.jpg,2.2,train
remed_art2473219115.jpg,2.54,train
31408335@N034420417921.jpg,2.48,train
holodelic2791675307.jpg,3.95,train
dosmosis189806897.jpg,2.39,train
toxicnerd5613735003.jpg,2.79,train
pbsartstudio6051720084.jpg,2.25,train
peewee_gonzoid157087272.jpg,3.08,train
clairgraubner88628433.jpg,2.15,train
bills_eye_view4050563533.jpg,2.51,train
76057363@N00330102099.jpg,2.71,train
nohjcoleynotions3441594362.jpg,2.55,train
lipatovadv2614266889.jpg,1.84,train
espinosa_rosique5903181776.jpg,3.11,train
cat-net4552039382.jpg,3.35,train
thegraveyardshift3990985851.jpg,3.01,train
waese2264250893.jpg,2.0,train
maric_atelier6081683022.jpg,2.94,train
espinosa_rosique6945205532.jpg,2.08,train
danaekyle5656879642.jpg,2.67,train
ticianapsi6236586979.jpg,2.9,train
32966980@N084681545060.jpg,2.62,train
smeroner5103102831.jpg,2.3,train
espinosa_rosique6043201671.jpg,2.27,train
suzysoosoo4842705551.jpg,2.04,train
menesje2144196162.jpg,2.3,train
befunked5815074696994.jpg,1.64,train
alodiaalmira4729369157.jpg,4.02,train
v-neck5372384406.jpg,3.0,train
1fifteen55403084129.jpg,1.95,train
thegraveyardshift4260327687.jpg,2.48,train
32966980@N084441320522.jpg,2.44,train
lbkbigfoot4558152211.jpg,2.83,train
mrrowl4576150258.jpg,3.81,train
137009693@N0822494287583.jpg,3.48,train
42398636@N075044766603.jpg,2.37,train
kyuubitamer2527648141.jpg,2.01,train
smart_alex537841101.jpg,2.98,train
lunatiknataly5444352162.jpg,2.62,train
cedarseven85860277.jpg,2.06,train
7945330@N051509645961.jpg,3.6,train
ingvilar2270069516.jpg,2.26,train
sammo371351204047.jpg,2.06,train
holodelic2400567081.jpg,4.17,train
dbagcollection3252885540.jpg,2.12,train
thegraveyardshift3985819576.jpg,2.79,train
eclectic_market4586215558.jpg,3.44,train
danbuck456919970.jpg,2.84,train
22755074@N063697805642.jpg,3.16,train
silentmiaow5621967171.jpg,1.85,train
geninne5147335466.jpg,3.45,train
moments_in_time_by_olga7813710456.jpg,4.2,train
dominicspics820426697.jpg,2.17,train
1q866346854519.jpg,2.24,train
imo2923660283.jpg,4.27,train
51448033@N075131472947.jpg,1.7,train
espinosa_rosique6518416935.jpg,2.42,train
